host_id;host_url;host_name;host_since;host_ville;host_pays;host_about;host_response_time;host_response_rate;host_acceptance_rate;host_is_superhost;host_listings_count;host_total_listings_count
22491111;https://www.airbnb.com/users/show/22491111;Sophie;41925;Île-de-France;France;;within an hour;1;0,95;0;1;1
138832548;https://www.airbnb.com/users/show/138832548;Anne Sophie;42922;Biarritz;France;;within a few hours;1;1;0;1;3
280082197;https://www.airbnb.com/users/show/280082197;Christian;43674;Louhossoa;France;;;;1;0;1;1
157767953;https://www.airbnb.com/users/show/157767953;Maïté Et Daniel;43046;Biarritz;France;;within a few hours;1;0,96;1;1;4
141100212;https://www.airbnb.com/users/show/141100212;Claire;42934;;;;;;1;0;1;1
276606724;https://www.airbnb.com/users/show/276606724;Nathalie;43662;;;;;;1;0;1;1
280123599;https://www.airbnb.com/users/show/280123599;Elodie;43674;Urrugne;France;Petite famille composée de papa, maman, deux adorables enfants, 3 chiens, un coq et 4 poules  a décidé d’ouvrir deux appartements à la location sur leur propriété afin de vous faire passer de belles vacances sur la côte basque.;;;1;1;2;2
242001627;https://www.airbnb.com/users/show/242001627;Anne Marie;43505;;;;within a few hours;1;0,77;1;1;10
189492363;https://www.airbnb.com/users/show/189492363;Julie;43234;Ciboure;France;Bonjour, je m'appelle Julie et je suis designer graphiste, surfeuse et amoureuse du Pays Basque et de Ciboure. Welcome, bienvenue, Egun on! :) ;within a day;0,5;0,94;0;1;1
260956802;https://www.airbnb.com/users/show/260956802;Dominique;43595;;;;;;;0;1;2
280665400;https://www.airbnb.com/users/show/280665400;Giberte;43676;;;;;;1;0;1;1
28730152;https://www.airbnb.com/users/show/28730152;Manue;42067;Biarritz;France;;;;;0;1;2
77143324;https://www.airbnb.com/users/show/77143324;Kevin;42532;Hendaye;France;"Bonjour je m'appelle kevin et je suis du Pays Basque
 Bienvenue dans mon joli appartement ou vous serrez toujours les bienvenues Milesker merci. ";within an hour;1;1;1;1;1
276842743;https://www.airbnb.com/users/show/276842743;Cyril;43663;;;"Egun on ! 

Passionné par les voyages en général je suis surtout amoureux de ma belle région. 
C'est avec plaisir que je vous partage mes meilleurs spots pour que votre séjour soit des plus mémorables.. 

Au plaisir de vous lire ! :)";;;1;0;2;2
280882156;https://www.airbnb.com/users/show/280882156;Robert;43677;Biarritz;France;;within an hour;1;0,96;1;2;2
127883932;https://www.airbnb.com/users/show/127883932;Nathalie;42852;;;;within an hour;1;1;0;1;2
280891018;https://www.airbnb.com/users/show/280891018;Femy;43677;;;;;;;0;1;1
97149997;https://www.airbnb.com/users/show/97149997;Marie-Françoise;42641;Anglet;France;;within a day;0,83;0,43;0;1;3
248676501;https://www.airbnb.com/users/show/248676501;Dominique;43537;Bayonne;France;;within a few hours;1;0,94;0;1;2
281306902;https://www.airbnb.com/users/show/281306902;Stéphanie;43678;;;;within an hour;1;1;0;1;1
63271285;https://www.airbnb.com/users/show/63271285;Charley;42445;Saint-Pierre-d'Irube;France;;within an hour;1;1;0;1;1
42386038;https://www.airbnb.com/users/show/42386038;Virginie;42240;Biarritz;France;Est-ce que quelqu'un a compris un des metiers que j'ai dejà fait?;within a few hours;1;0,88;0;1;2
11579568;https://www.airbnb.com/users/show/11579568;Raphael And Louise;41662;London;United Kingdom;;within an hour;0,91;0,98;1;3;3
19462449;https://www.airbnb.com/users/show/19462449;David;41855;;;;within a day;1;0,91;1;1;1
281473242;https://www.airbnb.com/users/show/281473242;Gil;43678;Anglet;France;;within an hour;1;1;1;1;4
148266129;https://www.airbnb.com/users/show/148266129;Begnat;42976;Biarritz;France;;;;;0;1;1
281495181;https://www.airbnb.com/users/show/281495181;Paul;43678;;;;;;1;1;1;1
281504262;https://www.airbnb.com/users/show/281504262;Kattin;43678;;;;within an hour;1;0,88;0;1;1
24431305;https://www.airbnb.com/users/show/24431305;Sabrine;41976;Hendaye;France;;within a few hours;1;0,95;0;1;1
277672;https://www.airbnb.com/users/show/277672;Elsy;40485;;;;;;1;0;1;1
222711774;https://www.airbnb.com/users/show/222711774;Martin;43399;Oraàs;France;;within a day;0,88;1;0;2;2
191750267;https://www.airbnb.com/users/show/191750267;Denis;43246;Anglet;France;;;;0,5;0;1;1
284025549;https://www.airbnb.com/users/show/284025549;Frederique;43685;;;;;;;0;1;1
70969347;https://www.airbnb.com/users/show/70969347;Gilles;42498;Hasparren;France;;within a day;1;1;1;1;1
10846658;https://www.airbnb.com/users/show/10846658;Laurence;41635;;;;within an hour;1;0,72;0;2;4
280894506;https://www.airbnb.com/users/show/280894506;Cécile;43677;;;;within an hour;0,9;1;1;1;1
131475290;https://www.airbnb.com/users/show/131475290;Thierry;42877;Villenave-d'Ornon;France;;;;1;0;1;1
25426893;https://www.airbnb.com/users/show/25426893;Karine;42004;Guiche;France;;;;1;0;1;1
26191692;https://www.airbnb.com/users/show/26191692;Agnès;42020;La Bastide-Clairence;France;J'aime lire, voyager, avec une préférence pour l'Amérique du Sud et le Pérou dont mon mari est originaire. Nous y résidons partiellement.;within a few hours;1;1;0;2;2
245601676;https://www.airbnb.com/users/show/245601676;Lionel;43522;Louhossoa;France;Amoureux de la nature et des randonnées en famille;within an hour;1;1;1;1;2
135315881;https://www.airbnb.com/users/show/135315881;Chloe;42902;Biarritz;France;;within an hour;1;1;0;1;1
37713859;https://www.airbnb.com/users/show/37713859;Yola;42191;Anglet;France;Passionnée par l'art, la musique, le cinéma, la philosophie... J'aime voyager, découvrir des nouveaux lieux, des cultures et des des gens. Je suis ouverte d'esprit, curieuse, respectueuse et honnête.  ;within a few hours;1;;0;1;3
4055249;https://www.airbnb.com/users/show/4055249;Nicolas;41217;Bayonne;France;"Bienvenue dans ma charmante villa au bord de la mer, vous y trouverez calme et tranquillité, ainsi que de belles vagues pour surfer!

Accueillant, sociable, calme, j'aime les belles et les bonnes choses (très gourmand), la musique, le sport, la nature..
";within an hour;1;1;0;10;12
198662215;https://www.airbnb.com/users/show/198662215;Xavier;43279;Ascain;France;"Bonjour; je m’appelle Xavier et me propose de vous héberger. Chambre au second étage avec vue dégagée sur La Rhune dans une résidence calme datant de 2018. Avec un sympathique petit ruisseau et espace vert. Soyez les bienvenus au Pays Basque au pied de la montagne de La Rhune et à 7 kms de St Jean de Luz ￼. Je suis de nature sympathique et joviale. 
⚠️⚠️ Et possibilité de location d’une trottinette électrique￼ (5€/Jour)";;;1;0;1;1
272682585;https://www.airbnb.com/users/show/272682585;Patrick;43647;Saint-Pierre-d'Irube;France;;;;0,56;0;1;1
115848990;https://www.airbnb.com/users/show/115848990;Christelle;42776;Lahonce;France;;;;;0;1;1
264120208;https://www.airbnb.com/users/show/264120208;Claude;43610;;;Retraité ayant résidence secondaire à St Jean de luz -Ciboure très attiré par le pays basque qui nous offre plusieurs facettes montagne, bord de mer, campagne en un mot secteur touristique très attrayant. ;;;0,33;0;1;1
161681193;https://www.airbnb.com/users/show/161681193;Hélène;43076;Suhescun;France;;within a few hours;1;0;0;1;1
6165384;https://www.airbnb.com/users/show/6165384;Basile;41394;Biarritz;France;;;;;0;3;3
108882627;https://www.airbnb.com/users/show/108882627;Philippe;42732;;;;;;1;0;1;1
282781984;https://www.airbnb.com/users/show/282781984;Isabelle;43682;;;;within an hour;1;1;1;1;1
282811958;https://www.airbnb.com/users/show/282811958;Jean Dominique;43682;;;;within a day;1;0,7;0;1;1
6923444;https://www.airbnb.com/users/show/6923444;Dominique;41440;Bayonne;France;"Steph et moi-même  serons ravis de vous accueillir dans notre sweet home!

A bientôt.";;;0,83;0;1;1
283128732;https://www.airbnb.com/users/show/283128732;Jean Louis;43683;;;"Mon numéro de voie va changer dés le 3 Mai 2021 sur décision administrative de la Mairie de SAINT PALAIS.
Mon bien sera au 635 Avenue de Navarre .64120 SAINT PALAIS et plus au 19 Avenue de Navarre .64120 SAINT PALAIS
Veuillez SVP en prendre note et rectififié .Merci";;;0,94;1;1;1
135151909;https://www.airbnb.com/users/show/135151909;Jf;42901;Annecy;France;;;;;0;1;1
76155842;https://www.airbnb.com/users/show/76155842;Benjamin;42527;;;;;;;0;1;1
283589221;https://www.airbnb.com/users/show/283589221;Daniel;43684;Bayonne;France;;within an hour;1;1;0;1;1
284797965;https://www.airbnb.com/users/show/284797965;Marie-Claire;43688;;;;within a day;1;1;0;1;1
250064441;https://www.airbnb.com/users/show/250064441;Christine;43544;Saint-Jean-de-Luz;France;"Bonjour,
Sportive et aimant les voyages, j'ai eu à coeur d' aménager et décorer cet appartement, véritable havre de paix et de verdure. Je serai ravie de vous faire découvrir et apprécier le Pays Basque, ""côté mer"" ou  ""côté montagne"", ses richesses culturelles traditionnelles et ses nombreuses activités sportives.
Sachez que j'ai pris un soin particulier à la désinfection de ce nid douillet, afin de vous garantir un séjour en toute sécurité.
J'ai hâte de vous rencontrer (masquée comme il se doit) !
A très bientôt.
Christine";;;1;1;1;1
45227261;https://www.airbnb.com/users/show/45227261;Clo;42274;Anglet;France;;;;0,83;0;1;1
27537670;https://www.airbnb.com/users/show/27537670;Guillaume;42045;Biarritz;France;"Je m'appelle Guillaume, je vis à Biarritz en France. Je suis professeur, et ma passion est de découvrir de nouveaux horizons en voyageant. 
Je parle français, anglais et espagnol.

";within an hour;1;1;0;1;1
167758058;https://www.airbnb.com/users/show/167758058;Sandrine;43114;Orthez;France;;a few days or more;0;1;0;1;1
290699607;https://www.airbnb.com/users/show/290699607;Christelle;43709;Ascain;France;;within a few hours;1;1;1;1;1
116249562;https://www.airbnb.com/users/show/116249562;Bernardin;42779;Saint-Pierre-d'Irube;France;;;;0;0;1;1
241054051;https://www.airbnb.com/users/show/241054051;Isabelle;43500;Lyon;France;;within an hour;1;1;0;1;1
54120569;https://www.airbnb.com/users/show/54120569;Jocelyne;42379;;;;;;;0;1;1
20876663;https://www.airbnb.com/users/show/20876663;Amandine;41885;Bayonne;France;;;;0,08;0;1;1
124982383;https://www.airbnb.com/users/show/124982383;Iban;42834;Bayonne;France;;within a few hours;1;0,5;0;1;1
291018202;https://www.airbnb.com/users/show/291018202;Jean-Michel;43710;;;;;;0;0;1;1
15388338;https://www.airbnb.com/users/show/15388338;Caroline;41770;Paris;France;;;;;0;1;2
7368467;https://www.airbnb.com/users/show/7368467;Xavier;41464;Lagor;France;"Friendly 
Married, 3 childrens";within an hour;1;0,76;1;3;3
11218116;https://www.airbnb.com/users/show/11218116;Marion;41651;Bidart;France;;;;;0;1;1
291256295;https://www.airbnb.com/users/show/291256295;Romain & Yannis;43711;Bidart;France;"Amis d’enfance ayant grandi au Pays Basque, nous serons heureux de vous accueillir et de vous faire découvrir la richesse de notre région. 
Disponibles et sur place, nous mettrons tout en œuvre pour vous apporter du confort et prendrons plaisir à vous apporter toutes les informations nécessaires à l’organisation et au bon déroulement de votre séjour.  


";within an hour;1;1;0;1;1
